Imagem;SIFT_SIFT_Inliers;SIFT_SIFT_Outliers;SIFT_SIFT_Distancia;SIFT_SIFT_Tempo;SIFT_SIFT_45_Inliers;SIFT_SIFT_45_Outliers;SIFT_SIFT_45_Distancia;SIFT_SIFT_45_Tempo;ORB_ORB_Inliers;ORB_ORB_Outliers;ORB_ORB_Distancia;ORB_ORB_Tempo;ORB_ORB_45_Inliers;ORB_ORB_45_Outliers;ORB_ORB_45_Distancia;ORB_ORB_45_Tempo;AKAZE_AKAZE_Inliers;AKAZE_AKAZE_Outliers;AKAZE_AKAZE_Distancia;AKAZE_AKAZE_Tempo;AKAZE_AKAZE_45_Inliers;AKAZE_AKAZE_45_Outliers;AKAZE_AKAZE_45_Distancia;AKAZE_AKAZE_45_Tempo;FAST_BRIEF_Inliers;FAST_BRIEF_Outliers;FAST_BRIEF_Distancia;FAST_BRIEF_Tempo;FAST_BRIEF_45_Inliers;FAST_BRIEF_45_Outliers;FAST_BRIEF_45_Distancia;FAST_BRIEF_45_Tempo;FAST_SIFT_Inliers;FAST_SIFT_Outliers;FAST_SIFT_Distancia;FAST_SIFT_Tempo;FAST_SIFT_45_Inliers;FAST_SIFT_45_Outliers;FAST_SIFT_45_Distancia;FAST_SIFT_45_Tempo;
1;20;56;1.6504383506122569;0:00:11.396817;11;32;0.9305516343181627;0:00:09.061794;8;145;-1;0:00:00.215339;8;159;-1;0:00:00.066931;8;2372;1.528346595301795;0:00:00.608592;7;2136;-1;0:00:00.526663;6;35;-1;0:00:05.644532;7;24;-1;0:00:03.295508;20;56;1.6504383506122569;0:00:10.386450;11;32;0.9305516343181627;0:00:07.737290;
2;20;43;1.1530886298390022;0:00:13.908295;25;36;1.3765474143813123;0:00:12.972003;8;142;-1;0:00:00.072738;9;150;-1;0:00:00.068279;8;3755;-1;0:00:00.931795;8;3549;-1;0:00:00.890995;6;75;-1;0:00:08.151445;7;47;-1;0:00:06.470050;20;43;1.1530886298390022;0:00:14.116342;25;36;1.3765474143813123;0:00:13.041175;
3;22;46;2.127098321477092;0:00:12.152755;19;35;1.5949691202052279;0:00:09.637488;7;156;-1;0:00:00.069418;9;154;-1;0:00:00.061404;7;2679;-1;0:00:00.639159;7;2411;-1;0:00:00.580879;11;142;1.844063195912804;0:00:08.439787;6;52;1.4428090415820636;0:00:05.821739;22;46;2.127098321477092;0:00:13.000337;19;35;1.5949691202052279;0:00:09.741693;
4;13;44;1.3263569759322529;0:00:12.904941;6;30;-1;0:00:10.121876;8;136;-1;0:00:00.068824;7;156;-1;0:00:00.062649;6;3230;-1;0:00:00.804401;7;2943;-1;0:00:00.728583;9;126;-1;0:00:06.820444;7;64;-1;0:00:04.893827;13;44;1.3263569759322529;0:00:14.320320;6;30;-1;0:00:11.037571;
5;12;28;0.617851130197758;0:00:13.142944;6;21;-1;0:00:11.397809;9;148;-1;0:00:00.076848;8;129;-1;0:00:00.064934;7;3063;-1;0:00:00.815960;7;2806;-1;0:00:00.712914;7;38;2.269089573129534;0:00:08.550455;5;50;-1;0:00:06.854839;12;28;0.617851130197758;0:00:13.762402;6;21;-1;0:00:11.548073;
6;23909;1;0.03770873987275035;0:00:22.506240;11871;10;0.1652743157038177;0:00:17.308859;482;0;0.18844072017582195;0:00:00.085930;268;52;1.2640472386644883;0:00:00.068002;9028;1;0.025243630365154146;0:00:00.763425;4692;247;0.3735457227158722;0:00:00.597617;79318;0;0.6269903424178113;0:00:20.763347;7;58;-1;0:00:12.936299;23909;1;0.03770873987275035;0:00:23.819276;11871;10;0.1652743157038177;0:00:17.759658;
7;55;37;1.9970399571901492;0:00:17.037518;56;36;1.7773368657206592;0:00:13.717441;10;155;2.1008767012245135;0:00:00.072297;9;146;-1;0:00:00.066427;187;2975;2.2808687882189633;0:00:00.776451;213;2694;2.33070236487633;0:00:00.727757;103;134;2.1318708085788107;0:00:11.972196;6;42;-1;0:00:09.001344;55;37;1.9970399571901492;0:00:17.789443;56;36;1.7773368657206592;0:00:13.812091;
8;48;31;2.0268403510540534;0:00:13.835581;43;31;1.8199062013104201;0:00:10.791219;18;135;1.2428683828672913;0:00:00.070010;11;124;-1;0:00:00.065403;419;2652;2.3774703323332895;0:00:00.755114;536;2345;2.442227347985876;0:00:00.815518;102;176;1.8728278578925235;0:00:10.674513;7;54;-1;0:00:07.414803;48;31;2.0268403510540534;0:00:14.438150;43;31;1.8199062013104201;0:00:11.021686;
9;73;45;1.9758986931815286;0:00:17.732420;73;35;1.9921387947152693;0:00:14.990789;30;142;2.476659014791825;0:00:00.074284;36;114;1.557979322010561;0:00:00.069994;427;3250;2.114339207161968;0:00:00.953261;296;3074;2.137101438747234;0:00:00.891202;96;95;2.1176294220121825;0:00:11.540010;7;59;-1;0:00:10.406348;73;45;1.9758986931815286;0:00:19.508958;73;35;1.9921387947152693;0:00:15.598489;
10;20;32;1.0160163958791428;0:00:16.127890;19;20;1.4585291650869963;0:00:12.683232;7;158;-1;0:00:00.069928;7;144;-1;0:00:00.064962;55;2879;2.4804051872069035;0:00:00.738538;53;2646;2.4224594008949563;0:00:00.689071;83;189;2.3902973510083734;0:00:11.010901;7;92;-1;0:00:07.744717;20;32;1.0160163958791428;0:00:17.040878;19;20;1.4585291650869963;0:00:12.864039;
11;6;27;0.7357022603955158;0:00:15.407728;7;22;-1;0:00:11.460765;7;150;-1;0:00:00.072870;9;136;-1;0:00:00.066185;9;3358;-1;0:00:00.901910;7;2754;-1;0:00:00.735995;9;147;1.2031585694162432;0:00:09.919858;7;89;-1;0:00:07.086185;6;27;0.7357022603955158;0:00:16.201399;7;22;-1;0:00:11.792952;
12;11;27;0.7272727272727273;0:00:20.678427;10;15;-1;0:00:16.306070;7;158;-1;0:00:00.075587;8;133;-1;0:00:00.068842;7;3695;-1;0:00:01.065963;8;3247;-1;0:00:00.932499;9;168;-1;0:00:10.953905;8;97;-1;0:00:08.232521;11;27;0.7272727272727273;0:00:21.628204;10;15;-1;0:00:16.690791;
13;7;16;0.14285714285714285;0:00:25.416290;5;16;0.48284271247461896;0:00:21.323084;9;140;-1;0:00:00.077985;9;133;-1;0:00:00.074279;13;3426;-1;0:00:00.955077;9;3189;-1;0:00:00.909210;13;108;1.5603611657723726;0:00:14.613154;6;63;-1;0:00:11.134569;7;16;0.14285714285714285;0:00:27.117214;5;16;0.48284271247461896;0:00:21.191235;
14;6;47;0.7750469233121474;0:00:18.434144;5;27;-1;0:00:14.357792;8;150;-1;0:00:00.075854;7;140;-1;0:00:00.071216;8;3438;-1;0:00:00.963988;8;3118;-1;0:00:00.892148;7;148;-1;0:00:11.392230;6;64;-1;0:00:08.684221;6;47;0.7750469233121474;0:00:19.478914;5;27;-1;0:00:14.606118;
15;13;33;1.0493066403682658;0:00:21.920485;13;28;1.560866758820026;0:00:16.677051;7;133;-1;0:00:00.082277;8;148;-1;0:00:00.077106;7;4702;-1;0:00:01.482088;7;4185;2.032396108916337;0:00:01.277010;9;163;-1;0:00:10.388872;10;77;2.3602957374473235;0:00:07.573799;13;33;1.0493066403682658;0:00:23.311074;13;28;1.560866758820026;0:00:16.910609;
16;22;46;1.112967335192662;0:00:24.727809;19;49;0.9904806268242506;0:00:19.292411;7;153;1.1765811396428272;0:00:00.084758;8;141;-1;0:00:00.078816;264;4805;2.219652925572008;0:00:01.639790;10;4625;-1;0:00:01.465698;33;77;2.409726889345349;0:00:10.427919;7;31;-1;0:00:07.863487;22;46;1.112967335192662;0:00:25.730122;19;49;0.9904806268242506;0:00:19.478731;
17;81;33;1.509449595777738;0:00:21.402023;55;22;1.5775124827084446;0:00:17.907870;8;153;-1;0:00:00.082390;8;139;-1;0:00:00.075691;789;3965;2.2169960285299397;0:00:01.360122;557;3666;2.1986297358974127;0:00:01.193029;119;269;1.9475125941348974;0:00:12.919838;9;74;-1;0:00:09.719028;81;33;1.509449595777738;0:00:22.774017;55;22;1.5775124827084446;0:00:18.444669;
18;22;35;1.0553398885149514;0:00:17.390286;24;25;1.6648923887182565;0:00:14.186178;7;164;-1;0:00:00.077261;7;144;-1;0:00:00.069401;7;3693;-1;0:00:01.059156;7;3283;-1;0:00:00.902133;9;194;2.273648971101572;0:00:12.360257;7;108;-1;0:00:09.459482;22;35;1.0553398885149514;0:00:18.520664;24;25;1.6648923887182565;0:00:14.702121;
19;9;37;1.405586837763654;0:00:14.045323;10;35;0.8;0:00:11.777236;7;133;-1;0:00:00.068083;10;132;-1;0:00:00.064388;7;3232;-1;0:00:00.844447;7;3002;-1;0:00:00.791391;13;100;2.0189644307885724;0:00:09.683311;7;55;-1;0:00:07.868772;9;37;1.405586837763654;0:00:14.957821;10;35;0.8;0:00:11.927314;
20;29;89;1.310576987500841;0:00:17.885973;17;46;1.4882684164556337;0:00:13.835701;8;154;-1;0:00:00.076159;7;143;-1;0:00:00.070173;8;4016;-1;0:00:01.210002;8;3569;-1;0:00:01.075271;7;57;1.4132746038560242;0:00:08.781215;6;29;-1;0:00:06.617193;29;89;1.310576987500841;0:00:18.393652;17;46;1.4882684164556337;0:00:14.104136;